#
# Log ID mappings
#

# Controller client
JBAS015292	WFLYDM0076
JBAS015293	WFLYDM0077
JBAS015294	WFLYDM0078
JBAS015295	WFLYDM0079
JBAS015296	WFLYDM0080
JBAS015297	WFLYDM0081
JBAS015298	WFLYDM0082
JBAS015299	WFLYDM0083
JBAS021000	WFLYDM0084
JBAS021001	WFLYDM0085
JBAS021002	WFLYDM0086
JBAS021003	WFLYDM0087
JBAS021004	WFLYDM0088

# WildFly EE
JBAS011000	WFLYEE0001
JBAS011001	WFLYEE0002
JBAS011002	WFLYEE0003
JBAS011003	WFLYEE0004
JBAS011004	WFLYEE0005
JBAS011005	WFLYEE0006
JBAS011006	WFLYEE0007
JBAS011007	WFLYEE0008
JBAS011008	WFLYEE0009
JBAS011009	WFLYEE0010
JBAS011010	WFLYEE0011
JBAS011011	WFLYEE0012
JBAS011012	WFLYEE0013
JBAS011013	WFLYEE0014
JBAS011014	WFLYEE0015
JBAS011015	WFLYEE0016
JBAS011016	WFLYEE0017
JBAS011017	WFLYEE0018
JBAS011025	WFLYEE0019
JBAS011026	WFLYEE0020
JBAS011027	WFLYEE0021
JBAS011028	WFLYEE0022
JBAS011029	WFLYEE0023
JBAS011030	WFLYEE0024
JBAS011031	WFLYEE0025
JBAS011032	WFLYEE0026
JBAS011033	WFLYEE0027
JBAS011034	WFLYEE0028
JBAS011035	WFLYEE0029
JBAS011036	WFLYEE0030
JBAS011037	WFLYEE0031
JBAS011038	WFLYEE0032
JBAS011039	WFLYEE0033
JBAS011040	WFLYEE0034
JBAS011041	WFLYEE0035
JBAS011042	WFLYEE0036
JBAS011043	WFLYEE0037
JBAS011044	WFLYEE0038
JBAS011045	WFLYEE0039
JBAS011046	WFLYEE0040
JBAS011047	WFLYEE0041
JBAS011048	WFLYEE0042
JBAS011049	WFLYEE0043
JBAS011050	WFLYEE0044
JBAS011051	WFLYEE0045
JBAS011052	WFLYEE0046
JBAS011053	WFLYEE0047
JBAS011054	WFLYEE0048
JBAS011055	WFLYEE0049
JBAS011056	WFLYEE0050
JBAS011057	WFLYEE0051
JBAS011058	WFLYEE0052
JBAS011059	WFLYEE0053
JBAS011060	WFLYEE0054
JBAS011061	WFLYEE0055
JBAS011062	WFLYEE0056
JBAS011063	WFLYEE0057
JBAS011064	WFLYEE0058
JBAS011065	WFLYEE0059
JBAS011066	WFLYEE0060
JBAS011067	WFLYEE0061
JBAS011068	WFLYEE0062
JBAS011069	WFLYEE0063
JBAS011070	WFLYEE0064
JBAS011071	WFLYEE0065
JBAS011072	WFLYEE0066
JBAS011073	WFLYEE0067
JBAS011074	WFLYEE0068
JBAS011075	WFLYEE0069
JBAS011076	WFLYEE0070
JBAS011077	WFLYEE0071
JBAS011078	WFLYEE0072
JBAS011079	WFLYEE0073
JBAS011080	WFLYEE0074
JBAS011081	WFLYEE0075
JBAS011082	WFLYEE0076
JBAS011083	WFLYEE0077
JBAS011084	WFLYEE0078
JBAS011085	WFLYEE0079
JBAS011086	WFLYEE0080
JBAS011087	WFLYEE0081
JBAS011088	WFLYEE0082
JBAS011089	WFLYEE0083
JBAS011090	WFLYEE0084
JBAS011091	WFLYEE0085
JBAS011092	WFLYEE0086
JBAS011093	WFLYEE0087
